"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value","ocean_proximity","income_cat"
"579",-122.06,37.71,36,3541,570,1478,529,4.635,248600,"NEAR BAY",4
"584",-122.08,37.72,32,2476,368,1048,367,5.6194,274700,"NEAR BAY",4
"591",-122.09,37.71,31,1843,282,749,269,5.2855,253500,"NEAR BAY",4
"598",-122.07,37.7,39,1420,272,645,277,4.125,232500,"NEAR BAY",3
"603",-122.09,37.7,33,4413,1107,2239,1051,2.9861,208200,"NEAR BAY",2
"617",-122.15,37.74,52,1394,223,545,230,3.95,219000,"NEAR BAY",3
"621",-122.16,37.73,49,1699,408,768,385,2.8301,171600,"NEAR BAY",2
"623",-122.16,37.73,52,1114,206,425,207,2.5625,175000,"NEAR BAY",2
"625",-122.18,37.71,45,726,147,519,135,3.375,157500,"NEAR BAY",3
"632",-122.17,37.72,5,1692,398,814,328,3.663,158300,"NEAR BAY",3
"643",-122.14,37.73,38,1723,394,711,353,3.0673,218400,"NEAR BAY",3
"646",-122.13,37.72,26,2862,394,1030,397,7.912,367300,"NEAR BAY",5
"647",-122.13,37.72,35,2183,383,976,392,3.8393,243500,"NEAR BAY",3
"649",-122.13,37.72,25,1134,153,340,171,6.5095,371200,"NEAR BAY",5
"651",-122.14,37.72,45,1397,253,555,248,2.983,202700,"NEAR BAY",2
"655",-122.15,37.71,18,5778,1526,2441,1352,3.1682,202700,"NEAR BAY",3
"656",-122.14,37.71,27,3094,866,1364,789,2.6101,181700,"NEAR BAY",2
"657",-122.14,37.71,18,3905,1007,2197,1044,3.6932,166800,"NEAR BAY",3
"660",-122.15,37.71,36,998,178,531,183,4.0208,191500,"NEAR BAY",3
"663",-122.13,37.7,21,4124,1054,2162,998,2.6321,223100,"NEAR BAY",2
"667",-122.14,37.69,38,1571,317,874,301,4.4659,189100,"NEAR BAY",3
"673",-122.16,37.7,36,1719,303,836,311,4.4375,193500,"NEAR BAY",3
"676",-122.17,37.69,24,2262,391,1125,366,4.7609,212600,"NEAR BAY",4
"677",-122.18,37.68,5,2087,407,840,401,5.4858,187800,"NEAR BAY",4
"684",-122.14,37.68,27,3337,613,1489,607,3.6364,219200,"NEAR BAY",3
"692",-122.12,37.69,35,2681,508,1580,536,4.1042,179100,"NEAR BAY",3
"710",-122.06,37.68,30,5367,1207,2667,1047,3.1796,170300,"NEAR BAY",3
"711",-122.08,37.68,26,1167,370,253,137,2.4196,275000,"NEAR BAY",2
"717",-122.09,37.68,29,2333,538,1120,540,2.4042,205600,"NEAR BAY",2
"730",-122.12,37.68,45,2179,401,1159,399,3.4839,180600,"NEAR BAY",3
"739",-122.14,37.67,37,3342,NA,1635,557,4.7933,186900,"NEAR BAY",4
"745",-122.11,37.67,32,3028,811,2037,703,3.0645,165400,"NEAR BAY",3
"746",-122.09,37.67,33,2431,655,1854,603,2.7019,154000,"NEAR BAY",2
"755",-122.04,37.67,29,1694,251,690,242,6.0501,254200,"NEAR BAY",5
"760",-122.08,37.66,33,1547,372,1063,356,2.5625,154300,"NEAR BAY",2
"763",-122.08,37.65,35,1813,393,1093,374,3.6818,165400,"NEAR BAY",3
"765",-122.1,37.66,37,901,191,599,206,3.7303,149700,"NEAR BAY",3
"775",-122.11,37.66,35,2843,652,1726,643,3.09,174100,"NEAR BAY",3
"777",-122.1,37.64,28,1784,311,735,278,4.6635,206700,"NEAR BAY",4
"781",-122.1,37.63,18,9963,2031,5613,1946,3.8171,187200,"NEAR BAY",3
"783",-122.13,37.66,19,862,167,407,183,4.3456,163000,"NEAR BAY",3
"791",-122.08,37.64,36,1340,245,789,248,3.8,172000,"NEAR BAY",3
"795",-122.08,37.64,30,5267,1253,4065,1113,3.3479,182100,"NEAR BAY",3
"806",-122.06,37.64,33,1160,252,729,220,3.8259,146100,"NEAR BAY",3
"810",-122.04,37.62,35,1032,173,453,176,6.396,208500,"NEAR BAY",5
"811",-122.04,37.62,35,657,118,328,134,3.8125,204200,"NEAR BAY",3
"812",-122.04,37.62,32,1540,324,793,302,3.2857,193200,"NEAR BAY",3
"813",-122.03,37.62,35,1298,236,632,204,3.8929,209500,"NEAR BAY",3
"814",-122.03,37.61,36,1409,271,1002,281,3.7262,164900,"NEAR BAY",3
"815",-122.03,37.61,37,1383,259,808,241,4.0125,161400,"NEAR BAY",3
"820",-122.07,37.63,35,1931,376,1175,337,3.7292,168100,"NEAR BAY",3
"839",-122.08,37.61,6,2605,474,1568,433,5.0406,261400,"NEAR BAY",4
"841",-122.06,37.6,18,1726,276,1186,310,5.3226,231700,"NEAR BAY",4
"846",-122.07,37.58,16,1606,240,1117,268,6.0661,247000,"NEAR BAY",5
"850",-122.04,37.59,14,1727,302,1116,273,5.3428,243600,"NEAR BAY",4
"857",-122.01,37.58,17,4313,717,2629,721,5.7579,231800,"NEAR BAY",4
"865",-122.01,37.57,14,16199,2993,8117,2847,5.8322,281800,"NEAR BAY",4
"871",-121.93,37.49,5,1150,311,648,245,3.5714,3e+05,"<1H OCEAN",3
"876",-122.03,37.56,24,8444,1492,4446,1491,4.6978,240300,"NEAR BAY",4
"889",-121.94,37.56,15,5674,748,2412,714,8.3996,442900,"<1H OCEAN",5
"890",-121.95,37.55,21,10687,1540,4552,1520,6.6478,333400,"<1H OCEAN",5
"893",-121.94,37.53,33,2095,342,941,304,5.761,259600,"<1H OCEAN",4
"895",-121.94,37.54,31,2537,382,1067,410,6.7599,356000,"<1H OCEAN",5
"907",-121.99,37.54,28,3046,507,1772,516,5.3283,227900,"<1H OCEAN",4
"914",-122.01,37.53,27,1890,303,889,314,5.7057,287600,"NEAR BAY",4
"920",-121.96,37.51,22,5811,1125,3215,1086,4.4107,223500,"<1H OCEAN",3
"922",-121.93,37.53,27,5532,973,2855,960,4.7478,243500,"<1H OCEAN",4
"937",-122.06,37.54,20,6483,1068,3526,1060,5.0838,248200,"NEAR BAY",4
"941",-122.02,37.54,31,1240,264,719,236,3.535,210300,"NEAR BAY",3
"942",-122.03,37.54,16,4458,856,3038,870,5.0739,208000,"NEAR BAY",4
"945",-122.02,37.53,21,4280,673,2216,681,5.7072,242200,"NEAR BAY",4
"952",-121.93,37.71,26,4822,845,2288,805,4.2281,206000,"<1H OCEAN",3
"961",-121.91,37.69,23,2179,308,926,299,5.9345,259600,"<1H OCEAN",4
"969",-121.88,37.67,25,2244,301,937,324,6.4524,296900,"INLAND",5
"976",-121.87,37.66,52,775,134,315,123,5.0677,233300,"INLAND",4
"982",-121.85,37.68,4,4719,741,1895,742,6.8132,282500,"INLAND",5
"985",-121.87,37.66,27,1569,242,583,214,5.7519,278500,"INLAND",4
"986",-121.84,37.66,13,13182,2074,4847,1950,5.6417,352900,"INLAND",4
"996",-121.75,37.71,11,12070,2220,5826,2125,4.8624,192400,"INLAND",4
"1003",-121.78,37.69,34,2358,498,1157,461,3.3618,174600,"INLAND",3
"1009",-121.76,37.68,35,1864,357,1189,349,4.2361,177500,"INLAND",3
"1010",-121.76,37.68,32,1078,207,555,197,3.1856,186900,"INLAND",3
"1014",-121.76,37.68,52,2157,418,929,419,3.7301,204400,"INLAND",3
"1021",-121.78,37.66,25,1947,418,900,354,3.8523,193000,"INLAND",3
"1029",-120.55,38.45,17,2277,474,767,356,2.5208,99100,"INLAND",2
"1031",-120.25,38.55,15,4403,891,1103,433,3.0125,111700,"INLAND",3
"1034",-120.65,38.5,10,1783,337,638,262,2.65,116700,"INLAND",2
"1042",-120.98,38.34,27,3471,653,1793,600,3.5508,99100,"INLAND",3
"1043",-120.88,38.32,18,2791,492,1187,438,3.2589,103000,"INLAND",3
"1047",-120.72,38.38,9,1787,347,806,306,2.525,157200,"INLAND",2
"1050",-120.62,38.39,15,3750,691,1444,603,2.7399,134800,"INLAND",2
"1055",-121.82,39.76,23,6010,1116,2710,1149,3.0068,107300,"INLAND",3
"1060",-121.89,39.76,15,10265,1860,4591,1906,3.07,142600,"INLAND",3
"1064",-121.87,39.74,7,1737,290,747,265,3.9,147000,"INLAND",3
"1065",-121.85,39.75,39,568,127,267,129,1.8095,78100,"INLAND",2
"1067",-121.85,39.74,41,2901,689,1426,632,1.5633,84500,"INLAND",2
"1068",-121.85,39.73,52,444,80,1107,98,3.4191,137500,"INLAND",3
"1071",-121.84,39.75,29,4362,1053,2053,1000,1.7284,74500,"INLAND",2
"1074",-121.8,39.75,28,2551,378,1011,374,4.3309,125200,"INLAND",3
"1083",-121.84,39.73,52,857,232,520,198,0.987,112500,"INLAND",1
"1084",-121.84,39.72,52,1457,389,802,342,0.9566,69000,"INLAND",1
"1086",-121.83,39.73,52,1741,401,753,377,2.0064,77900,"INLAND",2
"1089",-121.81,39.7,21,5051,1054,2948,980,1.5863,81300,"INLAND",2
"1090",-121.82,39.73,33,2242,517,1160,449,1.7426,60300,"INLAND",2
"1094",-121.89,39.71,26,2741,451,1217,437,3.7007,139200,"INLAND",3
"1096",-121.84,39.68,38,549,105,275,94,3.5375,153100,"INLAND",3
"1103",-121.54,40.06,17,858,262,47,27,2.4028,67500,"INLAND",2
"1104",-121.51,39.97,22,1468,285,611,235,2.3036,73000,"INLAND",2
"1109",-121.59,39.82,12,1958,369,875,354,2.3507,97600,"INLAND",2
"1113",-121.59,39.79,20,743,171,395,168,1.625,88300,"INLAND",2
"1127",-121.6,39.77,23,2263,497,1138,455,2.3403,87300,"INLAND",2
"1131",-121.65,39.76,31,1599,318,794,303,3,96700,"INLAND",2
"1136",-121.64,39.74,20,1808,334,763,335,2.3711,121800,"INLAND",2
"1138",-121.66,39.66,17,3502,655,1763,613,2.9625,101200,"INLAND",2
"1151",-121.56,39.52,26,1957,429,945,397,1.7308,53600,"INLAND",2
"1155",-121.49,39.52,25,848,153,436,155,3.9028,93800,"INLAND",3
"1158",-121.47,39.51,19,3720,636,1304,607,2.6921,97500,"INLAND",2
"1171",-121.58,39.51,24,1865,372,1087,385,1.6389,56700,"INLAND",2
"1174",-121.61,39.52,24,1610,324,909,323,1.8661,59800,"INLAND",2
"1181",-121.54,39.47,14,1724,315,939,302,2.4952,53900,"INLAND",2
"1185",-121.52,39.49,30,1217,238,677,233,2.6563,63600,"INLAND",2
"1189",-121.55,39.44,31,1434,283,811,289,1.7727,49000,"INLAND",2
"1190",-121.52,39.43,15,2119,389,1079,374,2.3566,80400,"INLAND",2
"1195",-121.67,39.37,27,2599,502,1241,502,1.9943,86300,"INLAND",2
"1196",-121.65,39.35,24,1003,251,1098,227,1.7552,86400,"INLAND",2
"1203",-121.69,39.36,34,842,186,635,165,1.8355,63000,"INLAND",2
"1204",-121.74,39.38,27,2596,435,1100,409,2.3243,85500,"INLAND",2
"1207",-121.71,39.41,22,1814,342,941,323,2.1728,59400,"INLAND",2
"1243",-122,38.99,39,1548,323,815,286,2.9489,67500,"INLAND",2
"1246",-122.04,39.22,27,1446,295,670,281,3.2625,92800,"INLAND",3
"1250",-122.09,39.13,28,4169,895,2587,810,2.331,65500,"INLAND",2
"1253",-122.51,39.3,19,1629,386,551,214,1.7463,68800,"INLAND",2
"1255",-122.01,39.21,52,1989,392,985,396,2.5556,75800,"INLAND",2
"1258",-121.65,38.03,28,3144,694,1095,482,3.4402,192400,"INLAND",3
"1271",-121.7,37.96,33,2396,452,1391,465,3.2813,151400,"INLAND",3
"1284",-121.82,38.02,46,176,43,101,40,2.2361,93800,"INLAND",2
"1287",-121.82,38.01,25,3018,606,1614,568,3.4722,127000,"INLAND",3
"1289",-121.78,38.01,19,2688,469,1216,422,4.4491,133900,"INLAND",3
"1290",-121.79,38.01,17,4032,814,1749,618,3.1728,146800,"INLAND",3
"1291",-121.79,38,34,3090,593,1588,566,3.6118,124700,"INLAND",3
"1296",-121.81,37.99,18,2807,445,1315,437,4.8194,170400,"INLAND",4
"1300",-121.82,38,29,2070,452,985,420,2.8466,113400,"INLAND",2
"1302",-121.82,38,30,3268,567,1714,565,4.4583,131000,"INLAND",3
"1306",-121.83,38,25,1710,288,799,259,4.8359,145300,"INLAND",4
"1309",-121.83,37.99,18,2741,449,1507,460,4.7566,142500,"INLAND",4
"1315",-121.79,37.99,10,4156,609,1878,586,5.6506,178600,"INLAND",4
"1341",-121.9,38.02,12,1497,360,943,341,2.1417,122200,"INLAND",2
"1349",-121.93,38.01,9,2294,389,1142,365,5.3363,160800,"INLAND",4
"1354",-121.95,38.02,9,3360,833,2041,810,2.1013,100700,"INLAND",2
"1356",-121.92,38.03,16,2176,464,1410,434,3.5436,100200,"INLAND",3
"1359",-121.97,38.04,38,2505,554,1595,498,2.5833,83500,"INLAND",2
"1365",-122.14,38.03,42,118,34,54,30,2.5795,225000,"NEAR BAY",2
"1372",-122.11,38.01,39,1313,306,575,231,3.1711,116100,"NEAR BAY",3
"1381",-122.09,38,6,10191,1882,4377,1789,5.2015,204200,"NEAR BAY",4
"1384",-122.09,37.99,19,3073,506,1773,493,5.4496,205400,"NEAR BAY",4
"1391",-122.12,37.99,33,1660,277,741,261,4.675,225400,"NEAR BAY",4
"1393",-122.1,37.96,20,3796,650,1679,611,4.3571,228200,"NEAR BAY",3
"1414",-122.07,37.94,43,1454,234,683,258,4.475,265700,"NEAR BAY",3
"1419",-122.04,37.99,36,2765,495,1478,441,4.125,136200,"NEAR BAY",3
"1423",-122.05,38,36,2476,472,1213,393,3.7333,136400,"NEAR BAY",3
"1430",-122.03,37.98,45,2842,567,1261,535,3.6042,138200,"NEAR BAY",3
"1432",-122.03,37.99,35,3103,537,1614,566,4.9022,169300,"NEAR BAY",4
"1434",-122.03,37.99,37,1755,327,882,350,4.59,166600,"NEAR BAY",4
"1437",-122.01,37.98,29,2001,373,956,370,4.317,194000,"NEAR BAY",3
"1438",-122,37.98,32,1013,169,436,173,5.1118,226900,"INLAND",4
"1440",-122.01,37.97,32,3012,527,1288,512,3.6449,211500,"NEAR BAY",3
"1441",-122.02,37.98,40,1797,401,756,369,2.8456,165500,"NEAR BAY",2
"1445",-121.99,37.98,23,2293,411,969,399,4.4536,184000,"INLAND",3
"1450",-122.01,37.99,28,1900,401,918,351,3.7841,144900,"NEAR BAY",3
"1451",-121.95,37.96,18,2739,393,1072,374,6.1436,259500,"INLAND",5
"1454",-121.97,37.96,28,1433,290,877,313,4.7891,184800,"INLAND",4
"1461",-121.99,37.97,22,2823,509,1271,474,5.1333,207200,"INLAND",4
"1462",-121.99,37.97,30,3320,589,1470,543,4.6071,184100,"INLAND",4
"1465",-121.96,37.95,13,3216,765,1627,715,3.0859,167800,"INLAND",3
"1470",-121.98,37.95,14,6290,854,2724,820,6.7371,267400,"INLAND",5
"1471",-121.98,37.95,16,2984,406,1317,397,6.7821,265900,"INLAND",5
"1474",-122.03,37.97,45,1613,338,865,336,3.25,151100,"NEAR BAY",3
"1475",-122.04,37.97,26,2470,626,1174,573,2.9861,160900,"NEAR BAY",2
"1480",-122.04,37.96,20,1143,346,578,298,2.2411,151800,"NEAR BAY",2
"1481",-122.05,37.96,35,2190,384,1154,401,3.8456,159800,"NEAR BAY",3
"1497",-122.01,37.94,18,2077,298,937,292,6.3809,273600,"NEAR BAY",5
"1506",-122.03,37.93,21,4712,624,1773,615,6.0918,344800,"NEAR BAY",5
"1507",-122.05,37.93,5,4274,1153,1503,881,4.0473,266500,"NEAR BAY",3
"1509",-122.05,37.92,14,12713,2558,4741,2412,4.7094,234700,"NEAR BAY",4
"1513",-122.03,37.91,29,5438,871,2310,890,5.0362,275300,"NEAR BAY",4
"1516",-122.06,37.89,21,4985,1590,2575,1458,3.1002,114300,"NEAR BAY",3
"1528",-122.08,37.9,29,4133,770,1691,744,5.1097,288000,"NEAR BAY",4
"1530",-122.07,37.89,38,757,124,319,123,5.6558,263300,"NEAR BAY",4
"1532",-122.05,37.87,30,2296,329,847,322,6.7192,397500,"NEAR BAY",5
"1535",-122.05,37.89,37,1677,269,689,283,4.2625,310600,"NEAR BAY",3
"1536",-122.04,37.89,33,2423,322,998,346,7.5349,349100,"NEAR BAY",5
"1546",-121.93,37.73,8,831,231,404,224,3.375,350000,"<1H OCEAN",3
"1547",-121.95,37.74,19,1127,170,518,167,6.3325,250000,"<1H OCEAN",5
"1551",-121.93,37.74,16,3326,419,1272,402,6.8806,343500,"<1H OCEAN",5
"1556",-121.98,37.81,18,2903,387,1127,372,5.5921,359100,"<1H OCEAN",4
"1559",-121.94,37.8,8,11336,1657,4089,1555,7.8287,369200,"<1H OCEAN",5
"1566",-121.93,37.78,2,227,35,114,49,3.1591,434700,"<1H OCEAN",3
"1578",-122.02,37.8,11,6200,907,2286,896,7.6518,359300,"NEAR BAY",5
"1582",-122.03,37.86,25,3004,393,1145,376,7.2655,494000,"NEAR BAY",5
"1583",-122,37.86,18,8953,1074,3011,993,10.7372,500001,"<1H OCEAN",5
"1584",-121.97,37.87,4,1029,126,416,122,13.4883,500001,"INLAND",5
"1585",-121.96,37.84,29,7479,977,2744,943,7.5139,398200,"INLAND",5
"1587",-121.96,37.85,10,3209,379,1199,392,12.2478,500001,"INLAND",5
"1594",-122.14,37.9,32,5738,746,2099,732,10.3224,500001,"NEAR BAY",5
"1597",-122.1,37.89,21,3282,653,1398,601,5.2079,310300,"NEAR BAY",4
"1601",-122.12,37.89,30,3227,733,1260,684,4.125,257100,"NEAR BAY",3
"1616",-122.11,37.87,33,3398,500,1351,457,6.5814,314200,"NEAR BAY",5
"1623",-122.14,37.86,20,6201,1182,2415,1141,4.5744,314000,"NEAR BAY",4
"1626",-122.16,37.83,16,4596,705,1480,650,7.52,370200,"NEAR BAY",5
"1628",-122.18,37.88,36,542,119,231,121,4.9,354200,"NEAR BAY",4
"1634",-122.22,37.88,20,95,13,31,15,2.4444,475000,"NEAR BAY",2
"1635",-122.2,37.89,37,3881,560,1315,517,7.3195,367500,"NEAR BAY",5
"1638",-122.2,37.9,36,2107,287,740,280,10.3416,500001,"NEAR BAY",5
"1640",-122.18,37.89,18,4845,735,1634,734,8.1489,499000,"NEAR BAY",5
"1646",-121.89,37.82,4,11444,1355,3898,1257,13.2949,500001,"INLAND",5
"1650",-121.96,37.94,26,3084,505,1557,501,5.1582,194700,"INLAND",4
"1653",-121.97,37.93,4,3241,464,1552,494,6.6134,307000,"INLAND",5
"1655",-122.01,37.92,16,2638,345,1055,334,8.1163,365800,"NEAR BAY",5
"1658",-121.92,37.96,14,5332,884,2093,839,5.2798,237400,"INLAND",4
"1660",-121.91,37.93,13,1610,198,703,217,8.7059,329400,"INLAND",5
"1661",-121.94,37.94,26,1299,174,533,180,6.2296,291700,"INLAND",5
